"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3782,"2021-02-20T09:52:29.465Z","2021-02-20T08:49:14.979Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,586,"2021-02-20T10:02:18.449Z","2021-02-20T09:52:29.465Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,3619,"2021-02-20T11:02:48.259Z","2021-02-20T10:02:18.449Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,758,"2021-02-20T11:15:30.180Z","2021-02-20T11:02:48.259Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,3615,"2021-02-20T12:15:56.258Z","2021-02-20T11:15:30.180Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,2652,"2021-02-20T13:00:18.665Z","2021-02-20T12:15:56.258Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,3604,"2021-02-20T14:00:34.479Z","2021-02-20T13:00:18.665Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,1176,"2021-02-20T14:20:16.453Z","2021-02-20T14:00:34.479Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,729,"2021-02-20T14:32:27.912Z","2021-02-20T14:20:16.453Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,1465,"2021-02-20T14:57:00.700Z","2021-02-20T14:32:27.912Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,3870,"2021-02-20T16:01:43.491Z","2021-02-20T14:57:00.700Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,491,"2021-02-20T16:09:56.796Z","2021-02-20T16:01:43.491Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
false,2786,"2021-02-20T16:56:31.100Z","2021-02-20T16:09:56.796Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
true,2327,"2021-02-20T17:35:32.689Z","2021-02-20T16:56:31.100Z","AWS Notes","7","60","10","6554fea6-fb0b-4423-a6e4-a433f7f62433"
