"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3619,"2021-02-23T11:05:08.202Z","2021-02-23T10:04:36.385Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
true,809,"2021-02-23T11:18:40.664Z","2021-02-23T11:05:08.202Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
false,3602,"2021-02-23T12:18:55.015Z","2021-02-23T11:18:40.664Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
true,598,"2021-02-23T12:28:55.621Z","2021-02-23T12:18:55.015Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
false,3854,"2021-02-23T13:33:22.860Z","2021-02-23T12:28:55.621Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
true,892,"2021-02-23T13:48:17.822Z","2021-02-23T13:33:22.860Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
false,3328,"2021-02-23T14:43:56.573Z","2021-02-23T13:48:17.822Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
true,705,"2021-02-23T14:55:44.337Z","2021-02-23T14:43:56.573Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
false,37,"2021-02-23T14:56:21.123Z","2021-02-23T14:55:44.337Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
true,2500,"2021-02-23T15:38:08.472Z","2021-02-23T14:56:21.123Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
false,3718,"2021-02-23T16:40:18.798Z","2021-02-23T15:38:08.472Z","AWS Notes","6","60","10","91e0548b-9a4b-4b2e-8483-9a670f7d6f55"
