"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,2567,"2021-02-25T14:15:01.455Z","2021-02-25T13:32:06.157Z","AWS Notes","2","60","10","a961d705-c740-4824-887a-1599adfd3275"
true,1092,"2021-02-25T14:33:18.104Z","2021-02-25T14:15:01.455Z","AWS Notes","2","60","10","a961d705-c740-4824-887a-1599adfd3275"
false,3726,"2021-02-25T15:35:35.362Z","2021-02-25T14:33:18.104Z","AWS Notes","2","60","10","a961d705-c740-4824-887a-1599adfd3275"
true,339,"2021-02-25T15:41:15.337Z","2021-02-25T15:35:35.362Z","AWS Notes","2","60","10","a961d705-c740-4824-887a-1599adfd3275"
false,1163,"2021-02-25T16:00:42.217Z","2021-02-25T15:41:15.337Z","AWS Notes","2","60","10","a961d705-c740-4824-887a-1599adfd3275"
