"activity","less","startTime","endTime","mood","goal","logged"
"wake up",true,"2021-03-01T09:02:11.164Z","2021-03-01T09:16:14.824Z",7,600,843
"AWS Notes",false,"2021-03-01T09:16:14.824Z","2021-03-01T10:16:22.538Z",8,3600,3607
"breakfast",true,"2021-03-01T10:16:22.538Z","2021-03-01T10:46:06.704Z",8,1800,1784
"AWS Notes",false,"2021-03-01T10:46:06.704Z","2021-03-01T11:47:07.889Z",7,3600,3661
"break",true,"2021-03-01T11:47:07.889Z","2021-03-01T11:57:25.592Z",6,600,617
"AWS Notes",false,"2021-03-01T11:57:25.592Z","2021-03-01T12:58:01.330Z",6,3600,3635
