"activity","less","startTime","endTime","mood","goal","logged"
"wake up",true,"2021-03-02T05:37:40.255Z","2021-03-02T05:48:43.383Z",8,600,663
"AWS Notes",false,"2021-03-02T05:48:43.383Z","2021-03-02T06:49:35.984Z",7,3600,3652
"breakfast",true,"2021-03-02T06:49:35.985Z","2021-03-02T07:18:40.238Z",5,1800,1744
"AWS Notes",false,"2021-03-02T07:18:40.239Z","2021-03-02T08:21:07.055Z",7,3600,3746
"break",true,"2021-03-02T08:21:07.055Z","2021-03-02T08:30:58.731Z",7,600,591
"AWS Notes",false,"2021-03-02T08:30:58.731Z","2021-03-02T09:33:51.128Z",8,3600,3772
