"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3612,"2021-02-22T10:32:09.310Z","2021-02-22T09:31:45.269Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,660,"2021-02-22T10:43:11.439Z","2021-02-22T10:32:09.310Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,3635,"2021-02-22T11:43:58.016Z","2021-02-22T10:43:11.439Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,829,"2021-02-22T11:57:50.218Z","2021-02-22T11:43:58.016Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,1155,"2021-02-22T12:17:09.124Z","2021-02-22T11:57:50.218Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,1727,"2021-02-22T12:46:06.380Z","2021-02-22T12:17:09.124Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,3613,"2021-02-22T13:46:30.582Z","2021-02-22T12:46:06.380Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,610,"2021-02-22T13:56:41.696Z","2021-02-22T13:46:30.582Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,2066,"2021-02-22T14:31:14.520Z","2021-02-22T13:56:41.696Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,5737,"2021-02-22T16:07:14.156Z","2021-02-22T14:31:14.520Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,4043,"2021-02-22T17:14:49.753Z","2021-02-22T16:07:14.156Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
true,1779,"2021-02-22T17:44:34.104Z","2021-02-22T17:14:49.753Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
false,1995,"2021-02-22T18:17:55.480Z","2021-02-22T17:44:34.104Z","School","7","60","10","9ed047f4-4a28-4039-a6ca-19d7c82383f5"
