"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3693,"2021-02-26T13:26:28.340Z","2021-02-26T12:24:42.766Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
true,618,"2021-02-26T13:36:48.640Z","2021-02-26T13:26:28.340Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
false,1311,"2021-02-26T13:58:43.617Z","2021-02-26T13:36:48.640Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
true,2102,"2021-02-26T14:33:52.594Z","2021-02-26T13:58:43.617Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
false,2722,"2021-02-26T15:19:23.639Z","2021-02-26T14:33:52.594Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
true,575,"2021-02-26T15:29:00.447Z","2021-02-26T15:19:23.639Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
false,3655,"2021-02-26T16:30:07.417Z","2021-02-26T15:29:00.447Z","AWS Notes","6","60","10","66f43b31-a8c3-4b2c-8ead-f424d11a1d10"
