"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3660,"2021-02-26T21:03:15.527Z","2021-02-26T20:02:02.925Z","AWS Notes","2","60","10","c47a752e-164f-4c63-a510-970380826b0d"
true,558,"2021-02-26T21:12:35.802Z","2021-02-26T21:03:15.527Z","AWS Notes","2","60","10","c47a752e-164f-4c63-a510-970380826b0d"
false,3603,"2021-02-26T22:12:50.515Z","2021-02-26T21:12:35.802Z","AWS Notes","2","60","10","c47a752e-164f-4c63-a510-970380826b0d"
