"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3961,"2021-02-25T10:18:02.532Z","2021-02-25T09:11:48.549Z","AWS Notes","5","60","10","02e45133-2229-4478-a808-ef459611d4e1"
true,1500,"2021-02-25T10:43:07.786Z","2021-02-25T10:18:02.532Z","AWS Notes","5","60","10","02e45133-2229-4478-a808-ef459611d4e1"
false,3614,"2021-02-25T11:43:33.540Z","2021-02-25T10:43:07.786Z","AWS Notes","5","60","10","02e45133-2229-4478-a808-ef459611d4e1"
true,2769,"2021-02-25T12:29:52.048Z","2021-02-25T11:43:33.540Z","AWS Notes","5","60","10","02e45133-2229-4478-a808-ef459611d4e1"
false,3368,"2021-02-25T13:26:11.213Z","2021-02-25T12:29:52.048Z","AWS Notes","5","60","10","02e45133-2229-4478-a808-ef459611d4e1"
